CODGEO,LIBGEO,ETTOT12,ETAZ12,ETBE12,ETFZ12,ETGU12,ETGZ12,ETOQ12,ETTEF012,ETAZ012,ETBE012,ETFZ012,ETGU012,ETGZ012,ETOQ012,ETTEF112,ETAZ112,ETBE112,ETFZ112,ETGU112,ETGZ112,ETOQ112,ETTEF1012,ETAZ1012,ETBE1012,ETFZ1012,ETGU1012,ETGZ1012,ETOQ1012,ETTEF2012,ETAZ2012,ETBE2012,ETFZ2012,ETGU2012,ETGZ2012,ETOQ2012,ETTEF5012,ETAZ5012,ETBE5012,ETFZ5012,ETGU5012,ETGZ5012,ETOQ5012,ETPTOT12,ETPAZ12,ETPBE12,ETPFZ12,ETPGU12,ETPGZ12,ETPOQ12,ETPTEF112,ETPAZ112,ETPBE112,ETPFZ112,ETPGU112,ETPGZ112,ETPOQ112,ETPTEF1012,ETPAZ1012,ETPBE1012,ETPFZ1012,ETPGU1012,ETPGZ1012,ETPOQ1012,ETPTEF2012,ETPAZ2012,ETPBE2012,ETPFZ2012,ETPGU2012,ETPGZ2012,ETPOQ2012,ETPTEF5012,ETPAZ5012,ETPBE5012,ETPFZ5012,ETPGU5012,ETPGZ5012,ETPOQ5012,ETPTEFCP12,ETPAZCP12,ETPBECP12,ETPFZCP12,ETPGUCP12,ETPGZCP12,ETPOQCP12,ETPRES12,ETNPRES12,ETPRESPUB12,ETNPRESPUB12,ETPPRES12,ETPNPRES12,ETPPRESPUB12,ETPNPRESPUB12,ENTOT12,ENAZ12,ENBE12,ENFZ12,ENGU12,ENGZ12,ENOQ12
61206,L'Hôme-Chamondot,32,11,2,4,13,6,2,30,11,2,3,13,6,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,1,0,2,0,1,0,32,11,2,4,13,6,2
61207,Igé,79,36,5,8,27,6,3,64,29,4,8,23,3,0,14,7,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,107,16,71,0,11,10,9,36,16,0,0,11,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,71,0,0,0,0,0,0,0,0,0,0,0,24,55,2,0,19,88,8,0,69,36,2,6,23,5,2
61208,Irai,52,14,3,6,26,6,3,44,11,1,6,26,6,0,8,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,5,0,0,0,15,23,3,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,4,0,20,3,17,0,49,14,3,6,24,5,2
61209,Joué-du-Bois,70,46,3,3,16,1,2,62,44,3,1,13,1,1,7,2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,72,2,0,59,9,0,2,14,2,0,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,58,0,0,0,0,0,0,0,0,0,0,16,54,2,0,63,9,2,0,69,46,3,3,16,1,1
61210,Joué-du-Plain,34,18,0,2,11,2,3,29,17,0,1,9,1,2,5,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,2,1,2,7,1,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,2,0,5,2,2,0,33,18,0,2,11,2,2
61211,Juvigny-sous-Andaine,106,44,5,9,40,7,8,78,43,3,3,27,4,2,24,1,2,5,12,3,4,2,0,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,181,1,3,38,64,7,75,77,1,3,19,37,7,17,29,0,0,19,0,0,10,75,0,0,0,27,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,62,5,0,169,12,26,0,96,42,2,9,38,7,5
61212,Juvigny-sur-Orne,5,3,0,0,1,0,1,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,7,0,7,0,5,3,0,0,1,0,1
61213,Lalacelle,41,19,4,6,11,4,1,29,14,3,4,8,3,0,11,5,0,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,10,6,11,1,2,28,9,0,6,11,1,2,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,1,0,18,20,2,0,39,19,3,6,10,4,1
61214,L'Aigle,859,44,59,62,532,171,162,526,34,32,37,319,88,104,254,9,14,22,185,76,24,34,0,4,1,15,5,14,27,0,6,2,10,1,9,18,1,3,0,3,1,11,4160,109,577,143,1200,395,2131,728,19,58,80,500,210,71,464,0,53,19,203,58,189,734,0,181,44,257,25,252,918,90,111,0,138,0,579,1316,0,174,0,102,102,1040,572,287,43,0,3208,952,1394,0,666,42,43,52,430,130,99
61215,Laleu,37,23,0,4,9,2,1,35,23,0,3,9,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,2,6,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,1,0,6,0,2,0,37,23,0,4,9,2,1
61216,"La Lande-de-Goult",31,14,3,1,10,1,3,29,14,3,0,10,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,1,0,3,0,1,0,31,14,3,1,10,1,3
61217,"La Lande-de-Lougé",9,8,0,0,0,0,1,9,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,9,8,0,0,0,0,1
61218,"La Lande-Patry",121,13,10,18,76,17,4,68,12,3,6,46,10,1,43,1,6,9,27,7,0,7,0,0,2,2,0,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,363,1,68,111,142,32,41,148,1,25,39,83,32,0,104,0,0,27,36,0,41,111,0,43,45,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,58,4,0,275,88,60,0,98,13,7,15,61,12,2
61219,"La Lande-Saint-Siméon",16,7,2,2,3,0,2,16,7,2,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,1,0,0,0,0,0,15,6,2,2,3,1,2
61220,"La Lande-sur-Eure",34,19,0,5,7,1,3,30,18,0,4,6,1,2,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,3,1,0,2,8,2,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,1,0,5,3,2,0,30,17,0,4,6,0,3
